名字,类型,注册地点,利率,上线时间,注册资金,存管方式,债权转让,投标保障,保障模式,评分
红岭创投,民营系,广东·深圳,8.29%,2009-03-28,6000万元（实缴资金：5000万元）,无存管,随时,-,-,3.4
有利网,风投系,北京·海淀,9.3%,2013-02-25,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华夏银行,随时,-,小贷公司、融资性担保公司,3.1
爱钱进,风投系,北京·东城,10.41%,2014-05-06,20000万元（实缴资金：20000万元）,用户资金存管存管机构为华夏银行,随时,第三方垫付,第三方垫付,3.4
拍拍贷,股权上市纽交所上市,上海·浦东,12.08%,2007-06-17,10000万元（实缴资金：10000万元）,纽交所股权代码PPDF,支持,随时,质保服务专项款,3.1
微贷网,上市参股A股公司汉鼎宇佑持有平台15.54%股份,浙江·杭州,6.9%,2011-07-08,12809万元（实缴资金：12195万元）,深交所股权代码300300,支持,随时,-,3.6
人人贷,风投系,北京·海淀,9.85%,2010-10-13,10000万元,用户资金存管存管机构为民生银行,3个月,-,-,3.6
宜贷网,风投系,四川·成都,10.8%,2014-01-01,10000万元（实缴资金：6000万元）,用户资金存管存管机构为恒丰银行,随时,-,-,3.6
你我贷,民营系,上海·浦东,10.27%,2011-06-18,10000万元（实缴资金：7000万元）,用户资金存管存管机构为恒丰银行,3个月,-,-,3
小赢网金,风投系,广东·深圳,7.89%,2014-08-01,20000万元,用户资金存管存管机构为上海华瑞银行,随时,众安保险承保,保险公司,3.4
小牛在线,民营系,广东·深圳,10.59%,2013-06-18,10300万元（实缴资金：10300万元）,无存管,随时,合作机构担保,-,3.1
银谷在线,民营系,北京·朝阳,12.68%,2016-07-15,10000万元（实缴资金：10000万元）,用户资金存管存管机构为西安银行,不可转让,-,其他,3.8
PPmoney网贷,风投系,广东·广州,8.75%,2012-12-12,15000万元（实缴资金：15000万元）,股权交易股权代码430705,支持,1个月,-,3.1
金信网,民营系,北京·海淀,9.24%,2013-12-31,10000万元（实缴资金：10000万元）,无存管,不可转让,多重保障,-,3.2
陆金服,上市控股A股公司中国平安持有平台49.98%股份,上海·浦东,8.36%,2012-01-22,10000万元（实缴资金：8000万元）,用户资金存管存管机构为平安银行,随时,个人借款保证保险保障,融资性担保公司,3.2
点融,风投系,上海·黄浦,8.2%,2013-03-18,20000万元（实缴资金：10000万元）,用户资金存管存管机构为上海银行,1个月,-,-,2.9
洋钱罐,民营系,北京·朝阳,11.96%,2015-11-02,10000万元（实缴资金：6670万元）,用户资金存管存管机构为华夏银行,不可转让,-,金融信息服务,2.8
信用宝,民营系,北京·东城,11.86%,2013-05-01,6875万元（实缴资金：5638万元）,无存管,不可转让,引入借款人逾期仲裁机制,网络个人借贷,3.9
团贷网,风投系,广东·东莞,10.61%,2012-07-15,10293万元（实缴资金：3793万元）,用户资金存管存管机构为厦门银行,1个月,第三方担保机构承保,担保公司,3.5
信和大金融,民营系,北京·朝阳,7.93%,2014-04-25,5000万元（实缴资金：5000万元）,无存管,不可转让,-,-,3.7
石头理财,国资参股杭州国融金融控股有限公司持有平台股份,河南·郑州,11.06%,2015-04-01,5000万元（实缴资金：800万元）,用户资金存管存管机构为北京银行,不可转让,-,非融资性担保公司,3.5
钱盆网,民营系,广西·南宁,12.37%,2014-08-06,3000万元（实缴资金：3000万元）,用户资金存管存管机构为新网银行,1个月,提现T+0,融资性担保公司,3.3
向上金服,民营系,北京·东城,11.46%,2013-08-16,10000万元（实缴资金：5000万元）,用户资金存管存管机构为平安银行,1个月,第三方垫付,-,3.9
爱投资,风投系,北京·海淀,10.47%,2013-03-31,10000万元（实缴资金：5000万元）,用户资金存管存管机构为新网银行,1个月,-,融资性担保公司、保险公司、保理公司、融资租赁,3.5
翼龙贷,上市参股港股公司联想控股持有平台33.33%股份,北京·海淀,9.01%,2011-04-01,10000万元（实缴资金：10000万元）,香港股权代码联想控股（3396.HK）,支持,随时,每月付息，到期自动退出,3
易通贷,民营系,北京·海淀,11.96%,2013-03-15,15000万元（实缴资金：15000万元）,无存管,3个月,风险准备金,-,3.1
投哪网,上市控股A股公司巨人网络和大金重工共同持有平台45.08%股份,广东·深圳,8.9%,2012-05-04,10000万元（实缴资金：10000万元）,用户资金存管存管机构为广发银行,随时,银行资金存管,-,2.9
笑脸金融,民营系,广东·深圳,8%,2015-07-28,5000万元（实缴资金：1000万元）,无存管,1个月,第三方担保,小贷公司、网络借贷信息中介平台,3.9
和信贷,股权上市纳斯达克上市,北京·朝阳,9.76%,2014-03-07,10527万元（实缴资金：5536万元）,纳斯达克股权代码HX,不支持,1个月,-,3
泰然金融,民营系,浙江·杭州,7.99%,2014-08-20,20000万元（实缴资金：5000万元）,用户资金存管存管机构为北京银行,2个月,-,-,4.4
积木盒子,风投系,北京·朝阳,9.85%,2013-08-07,20000万元（实缴资金：15000万元）,用户资金存管存管机构为民生银行,随时,逾期债券收购储备金,融资性担保公司、非融资性担保公司,3.1
人众金服,风投系自然人股东,浙江·杭州,9.95%,2013-04-27,6945万元（实缴资金：6945万元）,用户资金存管存管机构为北京银行,随时,-,融资租赁债权交易,3.7
91旺财,民营系,北京·西城,7.12%,2014-03-19,634万元（实缴资金：634万元）,用户资金存管存管机构为厦门银行,不可转让,北京房产抵押/项目优选/资金存管/风险备付金,北京房产抵押,3.6
网利宝,上市参股A股鸿利智汇通过多级公司协议持有10%股份,北京·朝阳,9.06%,2014-08-21,5000万元（实缴资金：4530万元）,用户资金存管存管机构为北京银行,随时,抵押、质押或保证担保,融资性担保公司、平台垫付、融资租赁,3.9
钱爸爸,民营系,广东·深圳,10.15%,2013-05-03,10000万元（实缴资金：5000万元）,用户资金存管存管机构为平安银行,3个月,合作机构担保,-,3.1
金联储,民营系,北京·朝阳,10.17%,2014-09-01,10000万元（实缴资金：10000万元）,用户资金存管存管机构为恒丰银行,不可转让,-,-,3.8
拓道金服,风投系,浙江·杭州,8.69%,2013-12-09,5000万元（实缴资金：5000万元）,用户资金存管存管机构为北京银行,1个月,风险保障金,小贷公司、非融资性担保公司,3.3
麦子金服财富,民营系,上海·徐汇,14.68%,2009-06-15,10800万元（实缴资金：7200万元）,用户资金存管存管机构为徽商银行,1个月,-,-,3.2
理财农场,上市参股A股公司诺普信持有平台35%股份,广东·深圳,11%,2015-03-15,5000万元（实缴资金：5000万元）,深交所中小板股权代码002215,支持,随时,第三方担保,3.6
宝象金融,国资参股宝象投资控股集团有限公司持有平台100%股份,上海·浦东,9.59%,2015-04-02,10000万元（实缴资金：10000万元）,用户资金存管存管机构为恒丰银行,随时,-,-,3.7
合众e贷,上市参股A股公司TCL集团持有平台4%股份,广东·深圳,12.78%,2015-11-16,5000万元（实缴资金：5000万元）,用户资金存管存管机构为上海银行,不可转让,第三方合作机构担保，点对点直投,第三方合作机构担保，车辆抵押/质押,3.7
财富星球,民营系,北京·海淀,10.58%,2013-12-31,10000万元（实缴资金：10000万元）,用户资金存管存管机构为厦门银行,随时,项目优选/风控严格/银盾计划,小贷公司、融资性担保公司、非融资性担保公司,3.3
民贷天下,国资参股广州科技金融创新投资控股有限公司等持有平台股份,广东·广州,9.7%,2014-12-31,20000万元（实缴资金：20000万元）,用户资金存管存管机构为浙商银行,1个月,-,第三方担保,3.8
温商贷,民营系,新疆·吐鲁番,10.73%,2013-03-27,10000万元（实缴资金：10000万元）,用户资金存管存管机构为贵州银行,3个月,风险准备金,-,3.8
中业兴融,民营系,广东·深圳,12.93%,2015-02-02,5263万元（实缴资金：5000万元）,用户资金存管存管机构为上海华瑞银行,1个月,-,非融资性担保公司,3.6
搜易贷,上市控股纳斯达克上市公司搜狐持有平台股份,北京·海淀,8.48%,2014-09-02,30000万元（实缴资金：30000万元）,NASDAQ股权代码SOHU,不支持,1个月,房产抵押,3.9
大同行,国资参股中视文旅（北京）体育科技有限公司持有平台5%股份,北京·丰台,12.14%,2014-04-21,5000万元（实缴资金：5000万元）,用户资金存管存管机构为贵州银行,不可转让,-,民品动产质押,3.8
汇盈金服,民营系,北京·海淀,9.41%,2013-12-23,5000万元（实缴资金：5000万元）,用户资金存管存管机构为江西银行,1个月,第三方合作机构本息垫付,小贷公司、融资性担保公司、非融资性担保公司、平台垫付、融资租赁,3.5
大麦理财,国资参股深圳大麦理财互联网金融服务有限公司持有平台8.65%股份,广东·深圳,9.85%,2014-10-12,3000万元（实缴资金：1155万元）,用户资金存管存管机构为江西银行,不可转让,大型企业还款，项目回购、风险准备金垫付,非融资性担保公司、保理公司,4
银湖网,上市控股A股公司熊猫金控持有平台100%股份,北京·东城,12%,2014-07-01,20000万元（实缴资金：20000万元）,上海证券交易所股权代码600599,支持,随时,-,3.1
